email	nationality	total spend (USD)	total nights	total  rewards to give	
demo-email324@gmail.com	es	90750	338	90750	
demo-email325@gmail.com	es	91000	339	91000	
demo-email326@gmail.com	es	91250	340	91250	
demo-email327@gmail.com	es	91500	341	91500	
demo-email328@gmail.com	es	91750	342	91750	
demo-email329@gmail.com	es	92000	343	92000	
demo-email330@gmail.com	es	92250	344	92250	
demo-email331@gmail.com	es	92500	345	92500	
demo-email332@gmail.com	es	92750	346	92750	
demo-email333@gmail.com	es	93000	347	93000	
demo-email334@gmail.com	es	93250	348	93250	
demo-email335@gmail.com	es	93500	349	93500	
demo-email336@gmail.com	es	93750	350	93750	
demo-email337@gmail.com	es	94000	351	94000	
demo-email338@gmail.com	es	94250	352	94250	
demo-email339@gmail.com	es	94500	353	94500	
demo-email340@gmail.com	es	94750	354	94750	
demo-email341@gmail.com	es	95000	355	95000	
demo-email342@gmail.com	es	95250	356	95250	
demo-email343@gmail.com	es	95500	357	95500	
demo-email344@gmail.com	es	95750	358	95750	
demo-email345@gmail.com	es	96000	359	96000	
demo-email346@gmail.com	es	96250	360	96250	
demo-email347@gmail.com	es	96500	361	96500	
demo-email348@gmail.com	es	96750	362	96750	
demo-email349@gmail.com	es	97000	363	97000	
demo-email350@gmail.com	es	97250	364	97250	
demo-email351@gmail.com	es	97500	365	97500	
demo-email352@gmail.com	es	97750	366	97750	
demo-email353@gmail.com	es	98000	367	98000	
demo-email354@gmail.com	es	98250	368	98250	
demo-email355@gmail.com	es	98500	369	98500	
demo-email356@gmail.com	es	98750	370	98750	
demo-email357@gmail.com	es	99000	371	99000	
demo-email358@gmail.com	es	99250	372	99250	
demo-email359@gmail.com	es	99500	373	99500	
demo-email360@gmail.com	es	99750	374	99750	
demo-email361@gmail.com	es	100000	375	100000	
demo-email362@gmail.com	es	100250	376	100250	
demo-email363@gmail.com	es	100500	377	100500	
demo-email364@gmail.com	es	100750	378	100750	
demo-email365@gmail.com	es	101000	379	101000	
demo-email366@gmail.com	es	101250	380	101250	
demo-email367@gmail.com	es	101500	381	101500	
demo-email368@gmail.com	es	101750	382	101750	
demo-email369@gmail.com	es	102000	383	102000	
demo-email370@gmail.com	es	102250	384	102250	
demo-email371@gmail.com	es	102500	385	102500	
demo-email372@gmail.com	es	102750	386	102750	
demo-email373@gmail.com	es	103000	387	103000	
demo-email374@gmail.com	es	103250	388	103250	
demo-email375@gmail.com	es	103500	389	103500	
demo-email376@gmail.com	es	103750	390	103750	
demo-email377@gmail.com	es	104000	391	104000	
demo-email378@gmail.com	es	104250	392	104250	
demo-email379@gmail.com	es	104500	393	104500	
demo-email380@gmail.com	es	104750	394	104750	
demo-email381@gmail.com	es	105000	395	105000	
demo-email382@gmail.com	es	105250	396	105250	
demo-email383@gmail.com	es	105500	397	105500	
demo-email384@gmail.com	es	105750	398	105750	
demo-email385@gmail.com	es	106000	399	106000	
demo-email386@gmail.com	es	106250	400	106250	
demo-email387@gmail.com	es	106500	401	106500	
demo-email388@gmail.com	es	106750	402	106750	
demo-email389@gmail.com	es	107000	403	107000	
demo-email390@gmail.com	es	107250	404	107250	
demo-email391@gmail.com	es	107500	405	107500	
demo-email392@gmail.com	es	107750	406	107750	
demo-email393@gmail.com	es	108000	407	108000	
demo-email394@gmail.com	es	108250	408	108250	
demo-email395@gmail.com	es	108500	409	108500	
demo-email396@gmail.com	es	108750	410	108750	
demo-email397@gmail.com	es	109000	411	109000	
demo-email398@gmail.com	es	109250	412	109250	
demo-email399@gmail.com	es	109500	413	109500	
demo-email400@gmail.com	es	109750	414	109750	
demo-email401@gmail.com	es	110000	415	110000	
demo-email402@gmail.com	es	110250	416	110250	
demo-email403@gmail.com	es	110500	417	110500	
demo-email404@gmail.com	es	110750	418	110750	
demo-email405@gmail.com	es	111000	419	111000	
demo-email406@gmail.com	es	111250	420	111250	
demo-email407@gmail.com	es	111500	421	111500	
demo-email408@gmail.com	es	111750	422	111750	
demo-email409@gmail.com	es	112000	423	112000	
demo-email410@gmail.com	es	112250	424	112250	
demo-email411@gmail.com	es	112500	425	112500	
demo-email412@gmail.com	es	112750	426	112750	
demo-email413@gmail.com	es	113000	427	113000	
demo-email414@gmail.com	es	113250	428	113250	
demo-email415@gmail.com	es	113500	429	113500	
demo-email416@gmail.com	es	113750	430	113750	
demo-email417@gmail.com	es	114000	431	114000	
demo-email418@gmail.com	es	114250	432	114250	
demo-email419@gmail.com	es	114500	433	114500	
demo-email420@gmail.com	es	114750	434	114750	
demo-email421@gmail.com	es	115000	435	115000	
demo-email422@gmail.com	es	115250	436	115250	
demo-email423@gmail.com	es	115500	437	115500	
demo-email424@gmail.com	es	115750	438	115750	
demo-email425@gmail.com	es	116000	439	116000	
demo-email426@gmail.com	es	116250	440	116250	
demo-email427@gmail.com	es	116500	441	116500	
demo-email428@gmail.com	es	116750	442	116750	
demo-email429@gmail.com	es	117000	443	117000	
demo-email430@gmail.com	es	117250	444	117250	
demo-email431@gmail.com	es	117500	445	117500	
demo-email432@gmail.com	es	117750	446	117750	
demo-email433@gmail.com	es	118000	447	118000	
demo-email434@gmail.com	es	118250	448	118250	
demo-email435@gmail.com	es	118500	449	118500	
demo-email436@gmail.com	es	118750	450	118750	
demo-email437@gmail.com	es	119000	451	119000	
demo-email438@gmail.com	es	119250	452	119250	
demo-email439@gmail.com	es	119500	453	119500	
demo-email440@gmail.com	es	119750	454	119750	
demo-email441@gmail.com	es	120000	455	120000	
demo-email442@gmail.com	es	120250	456	120250	
demo-email443@gmail.com	es	120500	457	120500	
demo-email444@gmail.com	es	120750	458	120750	
demo-email445@gmail.com	es	121000	459	121000	
demo-email446@gmail.com	es	121250	460	121250	
demo-email447@gmail.com	es	121500	461	121500	
demo-email448@gmail.com	es	121750	462	121750	
demo-email449@gmail.com	es	122000	463	122000	
demo-email450@gmail.com	es	122250	464	122250	
demo-email451@gmail.com	es	122500	465	122500	
demo-email452@gmail.com	es	122750	466	122750	
demo-email453@gmail.com	es	123000	467	123000	
demo-email454@gmail.com	es	123250	468	123250	
demo-email455@gmail.com	es	123500	469	123500	
demo-email456@gmail.com	es	123750	470	123750	
demo-email457@gmail.com	es	124000	471	124000	
demo-email458@gmail.com	es	124250	472	124250	
demo-email459@gmail.com	es	124500	473	124500	
demo-email460@gmail.com	es	124750	474	124750	
demo-email461@gmail.com	es	125000	475	125000	
demo-email462@gmail.com	es	125250	476	125250	
demo-email463@gmail.com	es	125500	477	125500	
demo-email464@gmail.com	es	125750	478	125750	
demo-email465@gmail.com	es	126000	479	126000	
demo-email466@gmail.com	es	126250	480	126250	
demo-email467@gmail.com	es	126500	481	126500	
demo-email468@gmail.com	es	126750	482	126750	
demo-email469@gmail.com	es	127000	483	127000	
demo-email470@gmail.com	es	127250	484	127250	
demo-email471@gmail.com	es	127500	485	127500	
demo-email472@gmail.com	es	127750	486	127750	
demo-email473@gmail.com	es	128000	487	128000	
demo-email474@gmail.com	es	128250	488	128250	
demo-email475@gmail.com	es	128500	489	128500	
demo-email476@gmail.com	es	128750	490	128750	
demo-email477@gmail.com	es	129000	491	129000	
demo-email478@gmail.com	es	129250	492	129250	
demo-email479@gmail.com	es	129500	493	129500	
demo-email480@gmail.com	es	129750	494	129750	
demo-email481@gmail.com	es	130000	495	130000	
demo-email482@gmail.com	es	130250	496	130250	
demo-email483@gmail.com	es	130500	497	130500	
demo-email484@gmail.com	es	130750	498	130750	
demo-email485@gmail.com	es	131000	499	131000	
demo-email486@gmail.com	es	131250	500	131250	
demo-email487@gmail.com	es	131500	501	131500	
demo-email488@gmail.com	es	131750	502	131750	
demo-email489@gmail.com	es	132000	503	132000	
demo-email490@gmail.com	es	132250	504	132250	
demo-email491@gmail.com	es	132500	505	132500	
demo-email492@gmail.com	es	132750	506	132750	
demo-email493@gmail.com	es	133000	507	133000	
demo-email494@gmail.com	es	133250	508	133250	
demo-email495@gmail.com	es	133500	509	133500	
demo-email496@gmail.com	es	133750	510	133750	
demo-email497@gmail.com	es	134000	511	134000	
demo-email498@gmail.com	es	134250	512	134250	
demo-email499@gmail.com	es	134500	513	134500	
demo-email500@gmail.com	es	134750	514	134750	
demo-email501@gmail.com	es	135000	515	135000	
demo-email502@gmail.com	es	135250	516	135250	
demo-email503@gmail.com	es	135500	517	135500	
demo-email504@gmail.com	es	135750	518	135750	
demo-email505@gmail.com	es	136000	519	136000	
demo-email506@gmail.com	es	136250	520	136250	
demo-email507@gmail.com	es	136500	521	136500	
demo-email508@gmail.com	es	136750	522	136750	
demo-email509@gmail.com	es	137000	523	137000	
demo-email510@gmail.com	es	137250	524	137250	
demo-email511@gmail.com	es	137500	525	137500	
demo-email512@gmail.com	es	137750	526	137750	
demo-email513@gmail.com	es	138000	527	138000	
demo-email514@gmail.com	es	138250	528	138250	
demo-email515@gmail.com	es	138500	529	138500	
demo-email516@gmail.com	es	138750	530	138750	
demo-email517@gmail.com	es	139000	531	139000	
demo-email518@gmail.com	es	139250	532	139250	
demo-email519@gmail.com	es	139500	533	139500	
demo-email520@gmail.com	es	139750	534	139750	
demo-email521@gmail.com	es	140000	535	140000	
demo-email522@gmail.com	es	140250	536	140250	
demo-email523@gmail.com	es	140500	537	140500	
demo-email524@gmail.com	es	140750	538	140750	
demo-email525@gmail.com	es	141000	539	141000	
demo-email526@gmail.com	es	141250	540	141250	
demo-email527@gmail.com	es	141500	541	141500	
demo-email528@gmail.com	es	141750	542	141750	
demo-email529@gmail.com	es	142000	543	142000	
demo-email530@gmail.com	es	142250	544	142250	
demo-email531@gmail.com	es	142500	545	142500	
demo-email532@gmail.com	es	142750	546	142750	
demo-email533@gmail.com	es	143000	547	143000	
demo-email534@gmail.com	es	143250	548	143250	
demo-email535@gmail.com	es	143500	549	143500	
demo-email536@gmail.com	es	143750	550	143750	
demo-email537@gmail.com	es	144000	551	144000	
demo-email538@gmail.com	es	144250	552	144250	
demo-email539@gmail.com	es	144500	553	144500	
demo-email540@gmail.com	es	144750	554	144750	
demo-email541@gmail.com	es	145000	555	145000	
demo-email542@gmail.com	es	145250	556	145250	
demo-email543@gmail.com	es	145500	557	145500	
demo-email544@gmail.com	es	145750	558	145750	
demo-email545@gmail.com	es	146000	559	146000	
demo-email546@gmail.com	es	146250	560	146250	
demo-email547@gmail.com	es	146500	561	146500	
demo-email548@gmail.com	es	146750	562	146750	
demo-email549@gmail.com	es	147000	563	147000	
demo-email550@gmail.com	es	147250	564	147250	
demo-email551@gmail.com	es	147500	565	147500	
demo-email552@gmail.com	es	147750	566	147750	
demo-email553@gmail.com	es	148000	567	148000	
demo-email554@gmail.com	es	148250	568	148250	
demo-email555@gmail.com	es	148500	569	148500	
demo-email556@gmail.com	es	148750	570	148750	
demo-email557@gmail.com	es	149000	571	149000	
demo-email558@gmail.com	es	149250	572	149250	
demo-email559@gmail.com	es	149500	573	149500	
demo-email560@gmail.com	es	149750	574	149750	
demo-email561@gmail.com	es	150000	575	150000	
demo-email562@gmail.com	es	150250	576	150250	
demo-email563@gmail.com	es	150500	577	150500	
demo-email564@gmail.com	es	150750	578	150750	
demo-email565@gmail.com	es	151000	579	151000	
demo-email566@gmail.com	es	151250	580	151250	
demo-email567@gmail.com	es	151500	581	151500	
demo-email568@gmail.com	es	151750	582	151750	
demo-email569@gmail.com	es	152000	583	152000	
demo-email570@gmail.com	es	152250	584	152250	
demo-email571@gmail.com	es	152500	585	152500	
demo-email572@gmail.com	es	152750	586	152750	
demo-email573@gmail.com	es	153000	587	153000	
demo-email574@gmail.com	es	153250	588	153250	
demo-email575@gmail.com	es	153500	589	153500	
demo-email576@gmail.com	es	153750	590	153750	
demo-email577@gmail.com	es	154000	591	154000	
demo-email578@gmail.com	es	154250	592	154250	
demo-email579@gmail.com	es	154500	593	154500	
demo-email580@gmail.com	es	154750	594	154750	
demo-email581@gmail.com	es	155000	595	155000	
demo-email582@gmail.com	es	155250	596	155250	
demo-email583@gmail.com	es	155500	597	155500	
demo-email584@gmail.com	es	155750	598	155750	
demo-email585@gmail.com	es	156000	599	156000	
demo-email586@gmail.com	es	156250	600	156250	
demo-email587@gmail.com	es	156500	601	156500	
demo-email588@gmail.com	es	156750	602	156750	
demo-email589@gmail.com	es	157000	603	157000	
demo-email590@gmail.com	es	157250	604	157250	
demo-email591@gmail.com	es	157500	605	157500	
demo-email592@gmail.com	es	157750	606	157750	
demo-email593@gmail.com	es	158000	607	158000	
demo-email594@gmail.com	es	158250	608	158250	
demo-email595@gmail.com	es	158500	609	158500	
demo-email596@gmail.com	es	158750	610	158750	
demo-email597@gmail.com	es	159000	611	159000	
demo-email598@gmail.com	es	159250	612	159250	
demo-email599@gmail.com	es	159500	613	159500	
demo-email600@gmail.com	es	159750	614	159750	
demo-email601@gmail.com	es	160000	615	160000	
demo-email602@gmail.com	es	160250	616	160250	
demo-email603@gmail.com	es	160500	617	160500	
demo-email604@gmail.com	es	160750	618	160750	
demo-email605@gmail.com	es	161000	619	161000	
demo-email606@gmail.com	es	161250	620	161250	
